id,jurisdiction,name,type,target,target_category,effective_date,enforcement_date,removal_date,duration_days,date_uncertain,compliance,exemptions,enforcement_measures,executive_orders,removal_method,removal_details,authority,mandate_communications,ref_code
ACT-001,ACT,Public Health (Aged Care Workers COVID-19 Vaccination) Emergency Direction,Employment,workers at residential aged care facilities,aged_care,2021-08-20,2021-09-16,,,False,"A worker at a residential aged care facility must not enter or remain on the premisesif they have not received at least one dose of a COVID-19 vaccination by 16/09/21
28/10/21: added that workers must have 2 doses of a COVID-19 vaccination from 01/12/21.","has a COVID-19 vaccine exemption
The Chief Health Officer or an authorised delegate may
provide an exemption from this Direction to:
a. a person who is unable, due to a medical contraindication, to receive a COVID- 19 vaccination; or b. a person for whom a COVID-19 vaccination is not reasonably available.
Or permitted persons including: an emergency services worker or volunteer, or an authorised person, who attends the residential aged care facility in the course of their official
duties; certain in-reach service providers or contractors (see directions for details); volunteers
04/04/22: added exemption to include ""or a diagnosed person within the previous 4 months.""","An authorised person may ask a person for any information necessary to determine
whether the person is complying with this Direction.
If a person fails to comply with this Direction, an authorised person may direct the
person to do such things as are reasonably necessary to comply with this Direction,
including, upon request, to produce proof of identification to the authorised person.
Maximum Penalty:
In the case of a natural person, $8,000 (50 penalty units). In the case of a body corporate, $40,500 (50 penalty units). In the case of a utility that is a body corporate, $1,620,000 (2000 penalty units).",Public Health (Aged Care Workers COVID-19 Vaccination) Emergency Direction 2022 (No 2),,"28/10/21: Public Health (Aged Care Workers and Visitors
COVID-19 Vaccination) Emergency Direction 2021 (No 3) added second dose requirement
15/03/22: Public Health (Aged Care Workers COVID-19
Vaccination) Emergency Direction 2022 (No 1) added booster dose requirement",,Prime Minister National Cabinet Statement,ACTERAC00V1
ACT-002,ACT,"Public Health (Aged Care Workers and Visitors
COVID-19 Vaccination) Emergency Direction
2021",Public Space,A visitor at a residential aged care facility,"aged_care, public_space",2021-10-14,2021-10-15,2021-11-11,28.0,False,"Visitors must have received two doses to remain on the premises of a residential aged care facility
may require a
visitor to produce evidence that they have received two
doses of a COVID-19 vaccination.","has a COVID-19 vaccine exemption
The Chief Health Officer or an authorised delegate may
provide an exemption from this Direction to:
a. a person who is unable, due to a medical contraindication, to receive a COVID- 19 vaccination; or b. a person for whom a COVID-19 vaccination is not reasonably available.
Or permitted people including: a person who visits a residential aged care facility as
part of the Community Visitors Scheme; or
(b) a person who is a family member or friend of a resident
of the residential aged care facility, including a participant of the Partners in Care Programme; or
(c) volunteers engaged outside of the residential aged care facility.","An authorised person may ask a person for any information necessary to determine
whether the person is complying with this Direction.
If a person fails to comply with this Direction, an authorised person may direct the
person to do such things as are reasonably necessary to comply with this Direction,
including, upon request, to produce proof of identification to the authorised person.
Maximum Penalty:
In the case of a natural person, $8,000 (50 penalty units). In the case of a body corporate, $40,500 (50 penalty units). In the case of a utility that is a body corporate, $1,620,000 (2000 penalty units).","Public Health (Aged Care Workers and Visitors
COVID-19 Vaccination) Emergency Direction
2021",Visitor requirements removed by Public Health (Aged Care Workers COVID-19 Vaccination) Emergency Direction 2021 (No. 2),"15/10/21: Public Health (Aged Care Workers and Visitors
COVID-19 Vaccination) Emergency Direction
2021 (No 2) enabled an authorised delegate of the CHO to
issue an exemption on the CHO’s behalf, and  amendment to the definition of ‘visitor’ to mean “a person who is a family member or friend of a resident of the residential aged care facility”.",,,ACTPRAC00V1
ACT-003,ACT,Public Health (Health Care and Support Workers COVID-19 Vaccination) Emergency Direction,Employment,"workers at health care facilities with means: a hospital, including a day hospital; or
a hospice; or all health care facilities operated by Canberra Health Services.",healthcare,2021-10-15,2021-10-29,2022-05-13,210.0,False,"First dose by 29/10/21
Second dose by 1/12/21
Must provide evidence of proof of vaccination if required
Either one dose of the Janssen COVID-19
vaccine or at least two doses of any other COVID-19 vaccine.","has a COVID-19 vaccine exemption
The Chief Health Officer may, in writing and subject to any conditions that the Chief Health Officer considers necessary, exempt a person from this Direction.
a. a person who is unable, due to a medical contraindication, to receive a COVID-19 vaccine; or
b. a person for whom a COVID-19 vaccine is not reasonably available.
04/04/22: added ""or a diagnosed person within the previous 4 months.""","An authorised person may ask a person for any information necessary to determine
whether the person is complying with this Direction.
If a person fails to comply with this Direction, an authorised person may direct the
person to do such things as are reasonably necessary to comply with this Direction,
including, upon request, to produce proof of identification to the authorised person.
Maximum Penalty:
In the case of a natural person, $8,000 (50 penalty units). In the case of a body corporate, $40,500 (50 penalty units). In the case of a utility that is a body corporate, $1,620,000 (2000 penalty units).","Public Health (Health Care and Support Workers COVID-19 Vaccination) Emergency Direction 2021 
Public Health (Health Care and Support Workers COVID-19 Vaccination) Emergency Direction 2022",Revoked by Public Health (Health Care and Support Workers COVID-19 Vaccination) Emergency Direction Revocation 2022,"4/04/2022: Public Health (Health Care and Support Workers COVID-19 Vaccination) Emergency Direction 2022 added added exemption to include ""or a diagnosed person within the previous 4 months.""
13/05/22: revoked mandate",,,ACTHCW0000
ACT-004,ACT,Public Health (ACT School or Early Childhood Education and Care Workers COVID-19 Vaccination) Emergency Direction,Employment,workers at ACT Schools or Early Childhood Education and Care facilities,education,2021-10-19,2021-11-01,2022-05-13,206.0,False,"First dose by 1/11/21
Second dose by 29/11/21
Must provide evidence of proof of vaccination if required
Either one dose of the Janssen COVID-19
vaccine or at least two doses of any other COVID-19 vaccine.","has a COVID-19 vaccine exemption
The Chief Health Officer or an authorised delegate may
provide an exemption from this Direction to:
a. a person who is unable, due to a medical contraindication, to receive a COVID-
19 vaccination; or
b. a person for whom a COVID-19 vaccination is not reasonably available.
04/04/22: added exemption to include ""or a diagnosed person within the previous 4 months.""","An authorised person may ask a person for any information necessary to determine
whether the person is complying with this Direction.
If a person fails to comply with this Direction, an authorised person may direct the
person to do such things as are reasonably necessary to comply with this Direction,
including, upon request, to produce proof of identification to the authorised person.
Maximum Penalty:
In the case of a natural person, $8,000 (50 penalty units). In the case of a body corporate, $40,500 (50 penalty units). In the case of a utility that is a body corporate, $1,620,000 (2000 penalty units).",Public Health (ACT School or Early Childhood Education and Care Workers COVID-19 Vaccination) Emergency Direction 2022,"Revoked by Public Health (ACT School or Early Childhood Education and Care Workers COVID-19 Vaccination) Emergency
Direction Revocation 2022","03/12/21: Public Health (ACT School or Early Childhood Education and Care Workers COVID-19 Vaccination) Emergency Direction 2021 (No 2) removed reference to a specific end date. The direction is “in force for the period ending on the day of the declared emergency (as extended or further extended) ends unless it is earlier revoked.”
Amended the scope of application from a school which
is “attended by children under 12 years of age” to a
school that “is a primary school” or has a primary
school”. Specialist schools and flexible education
programs remain [unchanged] in scope.
04/04/22: Updates to permissible evidence of vaccination status or exemption to include digital forms of evidence
issued by the Commonwealth",,,ACTEECF0000
ACT-005,ACT,Public Health (ACT School or Early Childhood Education and Care Workers COVID-19 Vaccination) Emergency Direction,Employment,adult residents at family day care residences,other,2021-10-19,2021-11-01,2022-05-13,206.0,False,"A family day care residence must not operate on or after 29 November 2021 unless
each adult resident has:
a. b. received 2 doses of a COVID-19 vaccine
Must provide evidence","has a COVID-19 vaccine exemption
The Chief Health Officer or an authorised delegate may
provide an exemption from this Direction to:
a. a person who is unable, due to a medical contraindication, to receive a COVID-
19 vaccination; or
b. a person for whom a COVID-19 vaccination is not reasonably available.
04/04/22: added exemption to include ""or a diagnosed person within the previous 4 months.""","An authorised person may ask a person for any information necessary to determine
whether the person is complying with this Direction.
If a person fails to comply with this Direction, an authorised person may direct the
person to do such things as are reasonably necessary to comply with this Direction,
including, upon request, to produce proof of identification to the authorised person.
Maximum Penalty:
In the case of a natural person, $8,000 (50 penalty units). In the case of a body corporate, $40,500 (50 penalty units). In the case of a utility that is a body corporate, $1,620,000 (2000 penalty units).",Public Health (ACT School or Early Childhood Education and Care Workers COVID-19 Vaccination) Emergency Direction 2022,"Revoked by Public Health (ACT School or Early Childhood Education and Care Workers COVID-19 Vaccination) Emergency
Direction Revocation 2022","03/12/21: Public Health (ACT School or Early Childhood Education and Care Workers COVID-19 Vaccination) Emergency Direction 2021 (No 2) removed reference to a specific end date. The direction is “in force for the period ending on the day of the declared emergency (as extended or further extended) ends unless it is earlier revoked.”
Amended the scope of application from a school which
is “attended by children under 12 years of age” to a
school that “is a primary school” or has a primary
school”. Specialist schools and flexible education
programs remain [unchanged] in scope.",,,ACTERSF0000
ACT-006,ACT,Public Health (Disability and Other Care Workers COVID-19 Vaccination) Emergency Direction,Employment,Disability worker or an in-home and community aged care worker,aged_care,2021-11-01,2021-11-15,2022-09-29,332.0,False,"First dose by 15/11/21
Second dose by 13/12/21
Must provide evidence of vaccination
28/03/22: Booster requirement added","has a COVID-19 vaccine exemption
The Chief Health Officer or an authorised delegate may
provide an exemption from this Direction to:
a. a person who is unable, due to a medical contraindication, to receive a COVID-
19 vaccination; or
b. a person for whom a COVID-19 vaccination is not reasonably available.
04/04/22: added exemption to include ""or a diagnosed person within the previous 4 months.""","An authorised person may ask a person for any information necessary to determine
whether the person is complying with this Direction.
If a person fails to comply with this Direction, an authorised person may direct the
person to do such things as are reasonably necessary to comply with this Direction,
including, upon request, to produce proof of identification to the authorised person.
Maximum Penalty:
In the case of a natural person, $8,000 (50 penalty units). In the case of a body corporate, $40,500 (50 penalty units). In the case of a utility that is a body corporate, $1,620,000 (2000 penalty units).","Public Health (Disability and Other Care Workers COVID-19 Vaccination) Emergency Direction 2021, 2022 (No 1), 2022 (No 2)",Listed as the effective end date in the ACT Legislation Register,"15/03/22: Public Health (Disability and Other Care Workers COVID-19 Vaccination) Emergency Direction 2022 (No 1) added a booster requirement 
04/04/22: Public Health (Disability and Other Care Workers COVID-19 Vaccination) Emergency Direction 2022 (No 2) added exemption to include ""or a diagnosed person within the previous 4 months.""",,,ACTEDSF00V1
ACT-007,ACT,Public Health (Aged Care Workers COVID-19 Vaccination) Emergency Direction,Employment,BOOSTER workers at residential aged care facilities,aged_care,2022-03-15,2022-03-28,2022-09-29,198.0,False,"is up to date with COVID-19 vaccinations: a person who has completed a primary course of vaccination and; has
received a COVID-19 booster; or is not yet
eligible for a COVID-19 booster; or has not
received a COVID-19 booster, but the person’s booster deadline date has not
yet passed","has a COVID-19 vaccine exemption
The Chief Health Officer or an authorised delegate may
provide an exemption from this Direction to:
a. a person who is unable, due to a medical contraindication, to receive a COVID-19 vaccine or COVID-19 booster; or
b. a person for whom a COVID-19 vaccine or COVID-19 booster is not reasonably available.
04/04/22: added exemption ""or was a diagnosed person within the previous 4 months.""","An authorised person may ask a person for any information necessary to determine
whether the person is complying with this Direction.
If a person fails to comply with this Direction, an authorised person may direct the
person to do such things as are reasonably necessary to comply with this Direction,
including, upon request, to produce proof of identification to the authorised person.
Maximum Penalty:
In the case of a natural person, $8,000 (50 penalty units). In the case of a body corporate, $40,500 (50 penalty units). In the case of a utility that is a body corporate, $1,620,000 (2000 penalty units).","Public Health (Aged Care Workers COVID-19
Vaccination) Emergency Direction 2022 (No 1)
Public Health (Aged Care Workers COVID-19 Vaccination) Emergency Direction 2022 (No 2)",Public Health Emergency removed,"04/04/22: Public Health (Aged Care Workers COVID-19
Vaccination) Emergency Direction 2022 (No 1) added exemption to include ""or a diagnosed person within the previous 4 months.""",,,ACTERAC00V2
ACT-008,ACT,Public Health (Disability and Other Care Workers COVID-19 Vaccination) Emergency Direction,Employment,"BOOSTER Disability
worker or an in-home and community aged care worker",aged_care,2022-03-15,2022-03-28,2022-09-29,198.0,False,"is up to date with COVID-19 vaccinations: a person who has completed a primary course of vaccination and; has
received a COVID-19 booster; or is not yet
eligible for a COVID-19 booster; or has not
received a COVID-19 booster, but the person’s booster deadline date has not
yet passed","has a COVID-19 vaccine exemption
The Chief Health Officer or an authorised delegate may
provide an exemption from this Direction to:
a. a person who is unable, due to a medical contraindication, to receive a COVID-19 vaccine or COVID-19 booster; or
b. a person for whom a COVID-19 vaccine or COVID-19 booster is not reasonably available.
04/04/22: added exemption ""or was a diagnosed person within the previous 4 months.""","An authorised person may ask a person for any information necessary to determine
whether the person is complying with this Direction.
If a person fails to comply with this Direction, an authorised person may direct the
person to do such things as are reasonably necessary to comply with this Direction,
including, upon request, to produce proof of identification to the authorised person.
Maximum Penalty:
In the case of a natural person, $8,000 (50 penalty units). In the case of a body corporate, $40,500 (50 penalty units). In the case of a utility that is a body corporate, $1,620,000 (2000 penalty units).","Public Health (Disability and Other Care Workers COVID-19 Vaccination) Emergency Direction 2022 (No 1), 2022 (No 2)",Public Health Emergency removed,"04/04/22: Public Health (Disability and Other Care Workers COVID-19 Vaccination) Emergency Direction 2022 (No 2) added exemption to include ""or a diagnosed person within the previous 4 months.""",,,ACTEDSF00V2
NSW-001,NSW,NSW Airport and Quarantine Workers Vaccination Program,Employment,Quarantine Workers,quarantine,2021-06-25,2021-06-25,2022-04-30,309.0,False,"Must have at least one dose of the COVID vaccine by 25/06/21
By 01/09/21, the person has received 2 doses of a COVID-19 vaccine, or
(b) the person has received 1 dose of a COVID-19 vaccine and receives the second dose of a COVID-19 vaccine—
(i) within 3 months of having received the first dose, or
(ii) within 28 days of the date of commencement of this Order.","does not apply if—
(a) a medical practitioner and the Chief Health Officer have certified that the nominated worker has a medical contraindication to the COVID-19 vaccine, or
(b) a nominated worker specified in clause (1)(b) is providing a declared flight crew member with a transportation service to or from the member’s residence for the purpose of obtaining urgent medical care or medical supplies.","Section 10 of the Public Health Act 2010 creates an offence if an individual fails to comply with a direction with a maximum penalty of imprisonment for 6 months or a fine of up to $11,000 (or both) plus a further $5,500 fine each day the offence continues. Corporations that fail to comply with a direction are liable to a fine of $55,000 and $27,500 each day the offence continues. The Public Health Regulation 2012 also enables authorised officers to issue penalty notices for offences against clause 6 by individuals for an amount of $4,000 and $1,000 in other cases.",Public Health (COVID-19 Air Transportation Quarantine) Order (No 2) Amendment (Transportation Providers) Order 2021,Removed by Public Health (COVID-19 Air and Maritime Arrivals) Order (No 1) Amendment (No 2) Order 2022 to remove the quarantine requirements for unvaccinated international air and maritime arrivals.,"31/08/21 Public Health (COVID-19 Air Transportation Quarantine) Order (No 3) 2021 repealed previous order and added clause on mandating a second dose for workers by 01/09/21
23/02/22: order title changed to Public Health (COVID-19 Air and Maritime Arrivals) Order (No 1) 2022",Minister for Health and Medical Research,NSW Government Gazette: the official notification of the making of statutory instruments,NSWEHQWT100
NSW-002,NSW,NSW Airport and Quarantine Workers Vaccination Program,Employment,Transportation Providers,transport,2021-06-25,2021-06-25,2022-04-30,309.0,False,"Must have at least one dose of the COVID vaccine by 25/06/21
By 01/09/21, the person has received 2 doses of a COVID-19 vaccine, or
(b) the person has received 1 dose of a COVID-19 vaccine and receives the second dose of a COVID-19 vaccine—
(i) within 3 months of having received the first dose, or
(ii) within 28 days of the date of commencement of this Order.","does not apply if—
(a) a medical practitioner and the Chief Health Officer have certified that the nominated worker has a medical contraindication to the COVID-19 vaccine, or
(b) a nominated worker specified in clause (1)(b) is providing a declared flight crew member with a transportation service to or from the member’s residence for the purpose of obtaining urgent medical care or medical supplies.","Section 10 of the Public Health Act 2010 creates an offence if an individual fails to comply with a direction with a maximum penalty of imprisonment for 6 months or a fine of up to $11,000 (or both) plus a further $5,500 fine each day the offence continues. Corporations that fail to comply with a direction are liable to a fine of $55,000 and $27,500 each day the offence continues. The Public Health Regulation 2012 also enables authorised officers to issue penalty notices for offences against clause 6 by individuals for an amount of $4,000 and $1,000 in other cases.",Public Health (COVID-19 Air Transportation Quarantine) Order (No 2) Amendment (Transportation Providers) Order 2021,Removed by Public Health (COVID-19 Air and Maritime Arrivals) Order (No 1) Amendment (No 2) Order 2022 to remove the quarantine requirements for unvaccinated international air and maritime arrivals.,"31/08/21 Public Health (COVID-19 Air Transportation Quarantine) Order (No 3) 2021 repealed previous order and added clause on mandating a second dose for workers by 01/09/21
23/02/22: order title changed to Public Health (COVID-19 Air and Maritime Arrivals) Order (No 1) 2022",Minister for Health and Medical Research,NSW Government Gazette: the official notification of the making of statutory instruments,NSWEHQWT200
